Available devices: 1
Current device: 0
Train Dataset size: 3550
Train Loader size: 73
Valid Dataset size: 5
Valid Loader size: 5
Data Loader successful!
/scratch/cc6858/ece57000/penv/lib/python3.8/site-packages/torch/utils/data/dataloader.py:563: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
<epoch:181, lr:1.000e-04> loss: 3.456e-02 
<epoch:182, lr:1.000e-04> loss: 3.444e-02 
<epoch:183, lr:1.000e-04> loss: 3.481e-02 
<epoch:184, lr:1.000e-04> loss: 3.486e-02 
<epoch:185, lr:1.000e-04> loss: 3.430e-02 
<epoch:186, lr:1.000e-04> loss: 3.593e-02 
<epoch:187, lr:1.000e-04> loss: 3.450e-02 
<epoch:188, lr:1.000e-04> loss: 3.404e-02 
<epoch:189, lr:1.000e-04> loss: 3.425e-02 
<epoch:190, lr:1.000e-04> loss: 3.470e-02 
<epoch:190, Average PSNR : 29.38dB

<epoch:191, lr:1.000e-04> loss: 3.519e-02 
<epoch:192, lr:1.000e-04> loss: 3.421e-02 
<epoch:193, lr:1.000e-04> loss: 3.387e-02 
<epoch:194, lr:1.000e-04> loss: 3.395e-02 
<epoch:195, lr:1.000e-04> loss: 3.526e-02 
<epoch:196, lr:1.000e-04> loss: 3.500e-02 
<epoch:197, lr:1.000e-04> loss: 3.423e-02 
<epoch:198, lr:1.000e-04> loss: 3.391e-02 
<epoch:199, lr:1.000e-04> loss: 3.448e-02 
<epoch:200, lr:1.000e-04> loss: 3.336e-02 
<epoch:200, Average PSNR : 29.49dB

<epoch:201, lr:1.000e-04> loss: 3.420e-02 
<epoch:202, lr:1.000e-04> loss: 3.374e-02 
<epoch:203, lr:1.000e-04> loss: 3.426e-02 
<epoch:204, lr:1.000e-04> loss: 3.342e-02 
<epoch:205, lr:1.000e-04> loss: 3.404e-02 
<epoch:206, lr:1.000e-04> loss: 3.395e-02 
<epoch:207, lr:1.000e-04> loss: 3.468e-02 
<epoch:208, lr:1.000e-04> loss: 3.399e-02 
<epoch:209, lr:1.000e-04> loss: 3.349e-02 
<epoch:210, lr:1.000e-04> loss: 3.480e-02 
<epoch:210, Average PSNR : 29.58dB

<epoch:211, lr:1.000e-04> loss: 3.390e-02 
<epoch:212, lr:1.000e-04> loss: 3.467e-02 
<epoch:213, lr:1.000e-04> loss: 3.411e-02 
<epoch:214, lr:1.000e-04> loss: 3.342e-02 
<epoch:215, lr:1.000e-04> loss: 3.457e-02 
<epoch:216, lr:1.000e-04> loss: 3.383e-02 
<epoch:217, lr:1.000e-04> loss: 3.386e-02 
<epoch:218, lr:1.000e-04> loss: 3.339e-02 
<epoch:219, lr:1.000e-04> loss: 3.382e-02 
<epoch:220, lr:1.000e-04> loss: 3.442e-02 
<epoch:220, Average PSNR : 29.80dB

<epoch:221, lr:1.000e-04> loss: 3.432e-02 
<epoch:222, lr:1.000e-04> loss: 3.406e-02 
<epoch:223, lr:1.000e-04> loss: 3.396e-02 
<epoch:224, lr:1.000e-04> loss: 3.366e-02 
<epoch:225, lr:1.000e-04> loss: 3.426e-02 
<epoch:226, lr:1.000e-04> loss: 3.432e-02 
<epoch:227, lr:1.000e-04> loss: 3.272e-02 
<epoch:228, lr:1.000e-04> loss: 3.400e-02 
<epoch:229, lr:1.000e-04> loss: 3.514e-02 
<epoch:230, lr:1.000e-04> loss: 3.386e-02 
<epoch:230, Average PSNR : 29.84dB

<epoch:231, lr:1.000e-04> loss: 3.307e-02 
<epoch:232, lr:1.000e-04> loss: 3.441e-02 
<epoch:233, lr:1.000e-04> loss: 3.376e-02 
<epoch:234, lr:1.000e-04> loss: 3.319e-02 
<epoch:235, lr:1.000e-04> loss: 3.396e-02 
<epoch:236, lr:1.000e-04> loss: 3.412e-02 
<epoch:237, lr:1.000e-04> loss: 3.319e-02 
<epoch:238, lr:1.000e-04> loss: 3.392e-02 
<epoch:239, lr:1.000e-04> loss: 3.330e-02 
<epoch:240, lr:1.000e-04> loss: 3.293e-02 
<epoch:240, Average PSNR : 29.93dB

<epoch:241, lr:1.000e-04> loss: 3.212e-02 
<epoch:242, lr:1.000e-04> loss: 3.441e-02 
<epoch:243, lr:1.000e-04> loss: 3.369e-02 
<epoch:244, lr:1.000e-04> loss: 3.370e-02 
<epoch:245, lr:1.000e-04> loss: 3.272e-02 
<epoch:246, lr:1.000e-04> loss: 3.331e-02 
<epoch:247, lr:1.000e-04> loss: 3.336e-02 
<epoch:248, lr:1.000e-04> loss: 3.336e-02 
<epoch:249, lr:1.000e-04> loss: 3.348e-02 
<epoch:250, lr:1.000e-04> loss: 3.422e-02 
<epoch:250, Average PSNR : 30.01dB

<epoch:251, lr:1.000e-04> loss: 3.366e-02 
<epoch:252, lr:1.000e-04> loss: 3.317e-02 
<epoch:253, lr:1.000e-04> loss: 3.361e-02 
<epoch:254, lr:1.000e-04> loss: 3.307e-02 
<epoch:255, lr:1.000e-04> loss: 3.492e-02 
<epoch:256, lr:1.000e-04> loss: 3.344e-02 
<epoch:257, lr:1.000e-04> loss: 3.362e-02 
<epoch:258, lr:1.000e-04> loss: 3.438e-02 
<epoch:259, lr:1.000e-04> loss: 3.407e-02 
<epoch:260, lr:1.000e-04> loss: 3.465e-02 
<epoch:260, Average PSNR : 30.05dB

<epoch:261, lr:1.000e-04> loss: 3.313e-02 
<epoch:262, lr:1.000e-04> loss: 3.263e-02 
<epoch:263, lr:1.000e-04> loss: 3.379e-02 
<epoch:264, lr:1.000e-04> loss: 3.313e-02 
<epoch:265, lr:1.000e-04> loss: 3.292e-02 
<epoch:266, lr:1.000e-04> loss: 3.387e-02 
<epoch:267, lr:1.000e-04> loss: 3.275e-02 
<epoch:268, lr:1.000e-04> loss: 3.304e-02 
<epoch:269, lr:1.000e-04> loss: 3.364e-02 
<epoch:270, lr:1.000e-04> loss: 3.312e-02 
<epoch:270, Average PSNR : 30.12dB

<epoch:271, lr:1.000e-04> loss: 3.332e-02 
<epoch:272, lr:1.000e-04> loss: 3.416e-02 
<epoch:273, lr:1.000e-04> loss: 3.303e-02 
<epoch:274, lr:1.000e-04> loss: 3.351e-02 
<epoch:275, lr:1.000e-04> loss: 3.458e-02 
<epoch:276, lr:1.000e-04> loss: 3.317e-02 
<epoch:277, lr:1.000e-04> loss: 3.307e-02 
<epoch:278, lr:1.000e-04> loss: 3.390e-02 
<epoch:279, lr:1.000e-04> loss: 3.317e-02 
<epoch:280, lr:1.000e-04> loss: 3.289e-02 
<epoch:280, Average PSNR : 30.12dB

<epoch:281, lr:1.000e-04> loss: 3.308e-02 
<epoch:282, lr:1.000e-04> loss: 3.295e-02 
<epoch:283, lr:1.000e-04> loss: 3.291e-02 
<epoch:284, lr:1.000e-04> loss: 3.282e-02 
<epoch:285, lr:1.000e-04> loss: 3.293e-02 
<epoch:286, lr:1.000e-04> loss: 3.484e-02 
<epoch:287, lr:1.000e-04> loss: 3.236e-02 
<epoch:288, lr:1.000e-04> loss: 3.282e-02 
<epoch:289, lr:1.000e-04> loss: 3.279e-02 
<epoch:290, lr:1.000e-04> loss: 3.256e-02 
<epoch:290, Average PSNR : 30.19dB

<epoch:291, lr:1.000e-04> loss: 3.276e-02 
<epoch:292, lr:1.000e-04> loss: 3.239e-02 
<epoch:293, lr:1.000e-04> loss: 3.354e-02 
<epoch:294, lr:1.000e-04> loss: 3.332e-02 
<epoch:295, lr:1.000e-04> loss: 3.367e-02 
<epoch:296, lr:1.000e-04> loss: 3.368e-02 
<epoch:297, lr:1.000e-04> loss: 3.301e-02 
<epoch:298, lr:1.000e-04> loss: 3.340e-02 
<epoch:299, lr:1.000e-04> loss: 3.289e-02 
<epoch:300, lr:1.000e-04> loss: 3.373e-02 
<epoch:300, Average PSNR : 30.27dB

<epoch:301, lr:1.000e-04> loss: 3.321e-02 
<epoch:302, lr:1.000e-04> loss: 3.237e-02 
<epoch:303, lr:1.000e-04> loss: 3.314e-02 
<epoch:304, lr:1.000e-04> loss: 3.312e-02 
<epoch:305, lr:1.000e-04> loss: 3.238e-02 
<epoch:306, lr:1.000e-04> loss: 3.297e-02 
<epoch:307, lr:1.000e-04> loss: 3.357e-02 
<epoch:308, lr:1.000e-04> loss: 3.326e-02 
<epoch:309, lr:1.000e-04> loss: 3.397e-02 
<epoch:310, lr:1.000e-04> loss: 3.239e-02 
<epoch:310, Average PSNR : 30.26dB

<epoch:311, lr:1.000e-04> loss: 3.316e-02 
<epoch:312, lr:1.000e-04> loss: 3.369e-02 
<epoch:313, lr:1.000e-04> loss: 3.362e-02 
<epoch:314, lr:1.000e-04> loss: 3.173e-02 
<epoch:315, lr:1.000e-04> loss: 3.281e-02 
<epoch:316, lr:1.000e-04> loss: 3.404e-02 
<epoch:317, lr:1.000e-04> loss: 3.266e-02 
<epoch:318, lr:1.000e-04> loss: 3.349e-02 
<epoch:319, lr:1.000e-04> loss: 3.359e-02 
<epoch:320, lr:1.000e-04> loss: 3.293e-02 
<epoch:320, Average PSNR : 30.21dB

<epoch:321, lr:1.000e-04> loss: 3.382e-02 
<epoch:322, lr:1.000e-04> loss: 3.356e-02 
<epoch:323, lr:1.000e-04> loss: 3.223e-02 
<epoch:324, lr:1.000e-04> loss: 3.312e-02 
<epoch:325, lr:1.000e-04> loss: 3.413e-02 
<epoch:326, lr:1.000e-04> loss: 3.369e-02 
<epoch:327, lr:1.000e-04> loss: 3.257e-02 
<epoch:328, lr:1.000e-04> loss: 3.367e-02 
<epoch:329, lr:1.000e-04> loss: 3.284e-02 
<epoch:330, lr:1.000e-04> loss: 3.197e-02 
<epoch:330, Average PSNR : 30.29dB

<epoch:331, lr:1.000e-04> loss: 3.364e-02 
<epoch:332, lr:1.000e-04> loss: 3.408e-02 
<epoch:333, lr:1.000e-04> loss: 3.432e-02 
<epoch:334, lr:1.000e-04> loss: 3.352e-02 
<epoch:335, lr:1.000e-04> loss: 3.374e-02 
<epoch:336, lr:1.000e-04> loss: 3.329e-02 
<epoch:337, lr:1.000e-04> loss: 3.295e-02 
<epoch:338, lr:1.000e-04> loss: 3.246e-02 
<epoch:339, lr:1.000e-04> loss: 3.216e-02 
<epoch:340, lr:1.000e-04> loss: 3.308e-02 
<epoch:340, Average PSNR : 30.32dB

<epoch:341, lr:1.000e-04> loss: 3.175e-02 
<epoch:342, lr:1.000e-04> loss: 3.312e-02 
<epoch:343, lr:1.000e-04> loss: 3.202e-02 
<epoch:344, lr:1.000e-04> loss: 3.295e-02 
<epoch:345, lr:1.000e-04> loss: 3.364e-02 
<epoch:346, lr:1.000e-04> loss: 3.232e-02 
<epoch:347, lr:1.000e-04> loss: 3.240e-02 
<epoch:348, lr:1.000e-04> loss: 3.148e-02 
<epoch:349, lr:1.000e-04> loss: 3.301e-02 
<epoch:350, lr:1.000e-04> loss: 3.369e-02 
<epoch:350, Average PSNR : 30.43dB

<epoch:351, lr:1.000e-04> loss: 3.293e-02 
<epoch:352, lr:1.000e-04> loss: 3.335e-02 
<epoch:353, lr:1.000e-04> loss: 3.249e-02 
<epoch:354, lr:1.000e-04> loss: 3.271e-02 
<epoch:355, lr:1.000e-04> loss: 3.203e-02 
<epoch:356, lr:1.000e-04> loss: 3.289e-02 
<epoch:357, lr:1.000e-04> loss: 3.348e-02 
<epoch:358, lr:1.000e-04> loss: 3.298e-02 
<epoch:359, lr:1.000e-04> loss: 3.247e-02 
<epoch:360, lr:1.000e-04> loss: 3.289e-02 
<epoch:360, Average PSNR : 30.37dB

<epoch:361, lr:1.000e-04> loss: 3.268e-02 
<epoch:362, lr:1.000e-04> loss: 3.291e-02 
<epoch:363, lr:1.000e-04> loss: 3.230e-02 
<epoch:364, lr:1.000e-04> loss: 3.239e-02 
<epoch:365, lr:1.000e-04> loss: 3.247e-02 
<epoch:366, lr:1.000e-04> loss: 3.343e-02 
<epoch:367, lr:1.000e-04> loss: 3.202e-02 
<epoch:368, lr:1.000e-04> loss: 3.306e-02 
<epoch:369, lr:1.000e-04> loss: 3.315e-02 
<epoch:370, lr:1.000e-04> loss: 3.262e-02 
<epoch:370, Average PSNR : 30.41dB

<epoch:371, lr:1.000e-04> loss: 3.306e-02 
<epoch:372, lr:1.000e-04> loss: 3.252e-02 
<epoch:373, lr:1.000e-04> loss: 3.219e-02 
<epoch:374, lr:1.000e-04> loss: 3.184e-02 
<epoch:375, lr:1.000e-04> loss: 3.219e-02 
<epoch:376, lr:1.000e-04> loss: 3.276e-02 
<epoch:377, lr:1.000e-04> loss: 3.284e-02 
<epoch:378, lr:1.000e-04> loss: 3.291e-02 
<epoch:379, lr:1.000e-04> loss: 3.316e-02 
<epoch:380, lr:1.000e-04> loss: 3.247e-02 
<epoch:380, Average PSNR : 30.51dB

<epoch:381, lr:1.000e-04> loss: 3.256e-02 
<epoch:382, lr:1.000e-04> loss: 3.215e-02 
<epoch:383, lr:1.000e-04> loss: 3.308e-02 
<epoch:384, lr:1.000e-04> loss: 3.283e-02 
